Trace File Name, Cache Size, Block Size, Replacement Policy, Associativity, Total Blocks, Tag Size (bits), Index Size (bits), Total Indices, Overhead Memory Size (KB), Implementation Memory Size (KB), Total Cache Accesses, Cache Hits, Cache Misses, Compulsory Misses, Conflict Misses, Hit Rate %, Miss Rate %, CPI
"TinyTrace.trc", 8, 4, RR, 2, 2048, 20, 10, 1024, 5376, 13568, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 8, 4, RND, 2, 2048, 20, 10, 1024, 5376, 13568, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 8, 16, RR, 2, 512, 20, 8, 256, 1344, 9536, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 16, RND, 2, 512, 20, 8, 256, 1344, 9536, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 64, RR, 2, 128, 20, 6, 64, 336, 8528, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 64, RND, 2, 128, 20, 6, 64, 336, 8528, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 4, RR, 2, 16384, 17, 13, 8192, 36864, 102400, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 64, 4, RND, 2, 16384, 17, 13, 8192, 36864, 102400, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 64, 16, RR, 2, 4096, 17, 11, 2048, 9216, 74752, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 16, RND, 2, 4096, 17, 11, 2048, 9216, 74752, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 64, RR, 2, 1024, 17, 9, 512, 2304, 67840, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 64, RND, 2, 1024, 17, 9, 512, 2304, 67840, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 4, RR, 2, 65536, 15, 15, 32768, 131072, 393216, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 256, 4, RND, 2, 65536, 15, 15, 32768, 131072, 393216, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 256, 16, RR, 2, 16384, 15, 13, 8192, 32768, 294912, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 16, RND, 2, 16384, 15, 13, 8192, 32768, 294912, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 64, RR, 2, 4096, 15, 11, 2048, 8192, 270336, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
