Trace File Name, Cache Size (KB), Block Size (bytes), Replacement Policy, Associativity, Total Blocks, Tag Size (bits), Index Size (bits), Total Indices, Overhead Memory Size (KB), Implementation Memory Size (KB), Total Cache Accesses, Cache Hits, Cache Misses, Compulsory Misses, Conflict Misses, Hit Rate %, Miss Rate %, CPI
"TinyTrace.trc", 8, 4, RR, 1, 2048, 19, 11, 2048, 5120, 13312, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 8, 4, RR, 2, 2048, 20, 10, 1024, 5376, 13568, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 8, 4, RR, 4, 2048, 21, 9, 512, 5632, 13824, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 8, 4, RR, 8, 2048, 22, 8, 256, 5888, 14080, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 8, 4, RR, 16, 2048, 23, 7, 128, 6144, 14336, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 8, 4, RND, 1, 2048, 19, 11, 2048, 5120, 13312, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 8, 4, RND, 2, 2048, 20, 10, 1024, 5376, 13568, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 8, 4, RND, 4, 2048, 21, 9, 512, 5632, 13824, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 8, 4, RND, 8, 2048, 22, 8, 256, 5888, 14080, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 8, 4, RND, 16, 2048, 23, 7, 128, 6144, 14336, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 8, 4, LRU, 1, 2048, 19, 11, 2048, 5120, 13312, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 8, 4, LRU, 2, 2048, 20, 10, 1024, 5376, 13568, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 8, 4, LRU, 4, 2048, 21, 9, 512, 5632, 13824, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 8, 4, LRU, 8, 2048, 22, 8, 256, 5888, 14080, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 8, 4, LRU, 16, 2048, 23, 7, 128, 6144, 14336, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 8, 16, RR, 1, 512, 19, 9, 512, 1280, 9472, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 16, RR, 2, 512, 20, 8, 256, 1344, 9536, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 16, RR, 4, 512, 21, 7, 128, 1408, 9600, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 16, RR, 8, 512, 22, 6, 64, 1472, 9664, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 16, RR, 16, 512, 23, 5, 32, 1536, 9728, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 16, RND, 1, 512, 19, 9, 512, 1280, 9472, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 16, RND, 2, 512, 20, 8, 256, 1344, 9536, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 16, RND, 4, 512, 21, 7, 128, 1408, 9600, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 16, RND, 8, 512, 22, 6, 64, 1472, 9664, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 16, RND, 16, 512, 23, 5, 32, 1536, 9728, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 16, LRU, 1, 512, 19, 9, 512, 1280, 9472, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 16, LRU, 2, 512, 20, 8, 256, 1344, 9536, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 16, LRU, 4, 512, 21, 7, 128, 1408, 9600, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 16, LRU, 8, 512, 22, 6, 64, 1472, 9664, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 16, LRU, 16, 512, 23, 5, 32, 1536, 9728, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 32, RR, 1, 256, 19, 8, 256, 640, 8832, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 32, RR, 2, 256, 20, 7, 128, 672, 8864, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 32, RR, 4, 256, 21, 6, 64, 704, 8896, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 32, RR, 8, 256, 22, 5, 32, 736, 8928, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 32, RR, 16, 256, 23, 4, 16, 768, 8960, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 32, RND, 1, 256, 19, 8, 256, 640, 8832, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 32, RND, 2, 256, 20, 7, 128, 672, 8864, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 32, RND, 4, 256, 21, 6, 64, 704, 8896, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 32, RND, 8, 256, 22, 5, 32, 736, 8928, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 32, RND, 16, 256, 23, 4, 16, 768, 8960, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 32, LRU, 1, 256, 19, 8, 256, 640, 8832, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 32, LRU, 2, 256, 20, 7, 128, 672, 8864, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 32, LRU, 4, 256, 21, 6, 64, 704, 8896, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 32, LRU, 8, 256, 22, 5, 32, 736, 8928, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 32, LRU, 16, 256, 23, 4, 16, 768, 8960, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 64, RR, 1, 128, 19, 7, 128, 320, 8512, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 64, RR, 2, 128, 20, 6, 64, 336, 8528, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 64, RR, 4, 128, 21, 5, 32, 352, 8544, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 64, RR, 8, 128, 22, 4, 16, 368, 8560, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 64, RR, 16, 128, 23, 3, 8, 384, 8576, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 64, RND, 1, 128, 19, 7, 128, 320, 8512, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 64, RND, 2, 128, 20, 6, 64, 336, 8528, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 64, RND, 4, 128, 21, 5, 32, 352, 8544, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 64, RND, 8, 128, 22, 4, 16, 368, 8560, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 64, RND, 16, 128, 23, 3, 8, 384, 8576, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 64, LRU, 1, 128, 19, 7, 128, 320, 8512, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 64, LRU, 2, 128, 20, 6, 64, 336, 8528, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 64, LRU, 4, 128, 21, 5, 32, 352, 8544, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 64, LRU, 8, 128, 22, 4, 16, 368, 8560, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 8, 64, LRU, 16, 128, 23, 3, 8, 384, 8576, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 4, RR, 1, 16384, 16, 14, 16384, 34816, 100352, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 64, 4, RR, 2, 16384, 17, 13, 8192, 36864, 102400, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 64, 4, RR, 4, 16384, 18, 12, 4096, 38912, 104448, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 64, 4, RR, 8, 16384, 19, 11, 2048, 40960, 106496, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 64, 4, RR, 16, 16384, 20, 10, 1024, 43008, 108544, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 64, 4, RND, 1, 16384, 16, 14, 16384, 34816, 100352, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 64, 4, RND, 2, 16384, 17, 13, 8192, 36864, 102400, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 64, 4, RND, 4, 16384, 18, 12, 4096, 38912, 104448, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 64, 4, RND, 8, 16384, 19, 11, 2048, 40960, 106496, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 64, 4, RND, 16, 16384, 20, 10, 1024, 43008, 108544, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 64, 4, LRU, 1, 16384, 16, 14, 16384, 34816, 100352, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 64, 4, LRU, 2, 16384, 17, 13, 8192, 36864, 102400, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 64, 4, LRU, 4, 16384, 18, 12, 4096, 38912, 104448, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 64, 4, LRU, 8, 16384, 19, 11, 2048, 40960, 106496, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 64, 4, LRU, 16, 16384, 20, 10, 1024, 43008, 108544, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 64, 16, RR, 1, 4096, 16, 12, 4096, 8704, 74240, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 16, RR, 2, 4096, 17, 11, 2048, 9216, 74752, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 16, RR, 4, 4096, 18, 10, 1024, 9728, 75264, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 16, RR, 8, 4096, 19, 9, 512, 10240, 75776, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
